H_MIN,Model,Global Hindsight,Day-ahead Objective,Local Hindsight,Adjustment Type,Adjustment Value,MAO,RMAO
50,Deterministic,1857385.4705882357,1742987.5058525463,67772.396301487,MPC,67626.37834764691,146.01795384008437,0.0021591863620058
50,Deterministic,1857385.4705882357,1742987.5058525463,67772.396301487,Rule-based,65362.32892268221,2410.067378804786,0.0368724220591295
50,HAPD-AF-12,1857385.4705882357,1787233.1287509052,30235.93352772435,MPC,30167.366963125765,68.56656459858641,0.0022728720303099
50,HAPD-AF-12,1857385.4705882357,1787233.1287509052,30235.93352772435,Rule-based,28585.34246730828,1650.5910604160745,0.0577425672721528
75,Deterministic,1851652.7705882352,1737412.0058525463,68493.82659028796,MPC,68122.4267275813,371.3998627066612,0.0054519470392896
75,Deterministic,1851652.7705882352,1737412.0058525463,68493.82659028796,Rule-based,60886.034756704,7607.791833583964,0.1249513433414431
75,HAPD-AF-12,1851652.7705882352,1777681.808413313,33785.07416728581,MPC,33565.97807091288,219.09609637293036,0.0065273264467389
75,HAPD-AF-12,1851652.7705882352,1777681.808413313,33785.07416728581,Rule-based,30507.325837270822,3277.74833001499,0.1074413518739346
100,Deterministic,1836495.7705882352,1723098.7058525467,67379.2022442345,MPC,66728.1225876764,651.0796565581113,0.0097572002824241
100,Deterministic,1836495.7705882352,1723098.7058525467,67379.2022442345,Rule-based,57312.47530279099,10066.726941443514,0.1756463472962803
100,HAPD-AF-12,1836495.7705882352,1739691.7681320312,53232.76123197633,MPC,52786.78581344732,445.9754185290076,0.0084486185634624
100,HAPD-AF-12,1836495.7705882352,1739691.7681320312,53232.76123197633,Rule-based,36701.90298597771,16530.85824599862,0.4504087499853723
125,Deterministic,1807830.0705882355,1695088.1058525466,67017.10656211618,MPC,66149.9490821301,867.1574799860828,0.0131089667039568
125,Deterministic,1807830.0705882355,1695088.1058525466,67017.10656211618,Rule-based,54410.177971589845,12606.92859052634,0.2317016606177803
125,HAPD-AF-12,1807830.0705882355,1699053.399341653,64044.11274941289,MPC,63248.21291211504,795.8998372978531,0.0125837521829079
125,HAPD-AF-12,1807830.0705882355,1699053.399341653,64044.11274941289,Rule-based,36920.0893566797,27124.023392733183,0.7346684113001969
150,Deterministic,1765968.1705882354,1653777.2058525467,66603.23907878599,MPC,65259.06619809847,1344.172880687518,0.0205974887321738
150,Deterministic,1765968.1705882354,1653777.2058525467,66603.23907878599,Rule-based,49265.28747826931,17337.95160051668,0.3519303852264004
150,HAPD-AF-12,1765968.1705882354,1639701.20887948,77804.45543341502,MPC,76918.38531070738,886.0701227076352,0.0115196141875366
150,HAPD-AF-12,1765968.1705882354,1639701.20887948,77804.45543341502,Rule-based,36829.36713676434,40975.08829665068,1.112565636669546
